flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,,2024-03-30T08:20:00+00:00,2024-03-30T08:20:00+00:00,,,,Esenboga International,Europe/Istanbul,ESB,LTAC,,,12,,2024-03-30T11:40:00+00:00,2024-03-30T11:40:00+00:00,,,,AJet,VF,TKJ,4333,VF4333,TKJ4333,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,,2024-03-30T08:35:00+00:00,2024-03-30T08:35:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,I,,,,2024-03-30T11:30:00+00:00,2024-03-30T11:30:00+00:00,,,,SCAT Airlines,DV,VSV,491,DV491,VSV491,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,,2024-03-30T13:35:00+00:00,2024-03-30T13:35:00+00:00,,,,Frankfurt International Airport,Europe/Berlin,FRA,EDDF,2,,,,2024-03-30T17:40:00+00:00,2024-03-30T17:40:00+00:00,,,,Air Astana,KC,KZR,921,KC921,KZR921,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,,2024-03-30T13:35:00+00:00,2024-03-30T13:35:00+00:00,,,,Frankfurt International Airport,Europe/Berlin,FRA,EDDF,2,,,,2024-03-30T17:40:00+00:00,2024-03-30T17:40:00+00:00,,,,Lufthansa,LH,DLH,9613,LH9613,DLH9613,,air astana,kc,kzr,921,kc921,kzr921,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,24.0,2024-03-30T06:20:00+00:00,2024-03-30T06:20:00+00:00,2024-03-30T06:43:00+00:00,2024-03-30T06:43:00+00:00,2024-03-30T06:43:00+00:00,Atyrau International,Asia/Aqtau,GUW,UATG,,,,,2024-03-30T08:55:00+00:00,2024-03-30T08:55:00+00:00,,,,Air Astana,KC,KZR,981,KC981,KZR981,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,,2024-03-29T23:10:00+00:00,2024-03-29T23:10:00+00:00,,,,Aktyubinsk,Asia/Aqtobe,AKX,UATT,2,,,,2024-03-30T01:10:00+00:00,2024-03-30T01:10:00+00:00,,,,empty,,,4709,,,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,,,,Aktyubinsk,Asia/Aqtobe,AKX,UATT,2,,,,2024-03-29T10:00:00+00:00,2024-03-29T10:00:00+00:00,,,,SCAT Airlines,DV,VSV,1721,DV1721,VSV1721,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T07:20:00+00:00,2024-03-29T07:20:00+00:00,,,,Aktyubinsk,Asia/Aqtobe,AKX,UATT,2,,,,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,,,,Qazaq Air,IQ,QAZ,399,IQ399,QAZ399,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,27.0,2024-03-29T20:00:00+00:00,2024-03-29T20:00:00+00:00,2024-03-29T20:26:00+00:00,2024-03-29T20:26:00+00:00,2024-03-29T20:26:00+00:00,Aktyubinsk,Asia/Aqtobe,AKX,UATT,2,,,3.0,2024-03-29T21:55:00+00:00,2024-03-29T21:55:00+00:00,2024-03-29T21:52:00+00:00,2024-03-29T21:52:00+00:00,2024-03-29T21:52:00+00:00,Air Astana,KC,KZR,965,KC965,KZR965,,,,,,,,EI-KGE,A21N,A21N,4CAC14,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,,2024-03-29T22:25:00+00:00,2024-03-29T22:25:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,2,,,,2024-03-30T00:15:00+00:00,2024-03-30T00:15:00+00:00,,,,empty,,,4609,,,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,12.0,2024-03-29T09:00:00+00:00,2024-03-29T09:00:00+00:00,2024-03-29T09:11:00+00:00,2024-03-29T09:11:00+00:00,2024-03-29T09:11:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,6,,2024-03-29T10:50:00+00:00,2024-03-29T10:50:00+00:00,2024-03-29T10:38:00+00:00,2024-03-29T10:38:00+00:00,2024-03-29T10:38:00+00:00,FlyArystan,,AYN,7052,,AYN7052,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,16.0,2024-03-29T16:05:00+00:00,2024-03-29T16:05:00+00:00,2024-03-29T16:20:00+00:00,2024-03-29T16:20:00+00:00,2024-03-29T16:20:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,6,,2024-03-29T17:55:00+00:00,2024-03-29T17:55:00+00:00,2024-03-29T17:51:00+00:00,2024-03-29T17:51:00+00:00,2024-03-29T17:51:00+00:00,FlyArystan,,AYN,7056,,AYN7056,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,21.0,2024-03-29T10:20:00+00:00,2024-03-29T10:20:00+00:00,2024-03-29T10:41:00+00:00,2024-03-29T10:41:00+00:00,2024-03-29T10:41:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,I,,6,,2024-03-29T12:15:00+00:00,2024-03-29T12:15:00+00:00,2024-03-29T12:05:00+00:00,2024-03-29T12:05:00+00:00,2024-03-29T12:05:00+00:00,FlyArystan,,AYN,7334,,AYN7334,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,16.0,2024-03-29T22:25:00+00:00,2024-03-29T22:25:00+00:00,2024-03-29T22:40:00+00:00,2024-03-29T22:40:00+00:00,2024-03-29T22:40:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,6,,2024-03-30T00:15:00+00:00,2024-03-30T00:15:00+00:00,2024-03-30T00:09:00+00:00,2024-03-30T00:09:00+00:00,2024-03-30T00:09:00+00:00,FlyArystan,,AYN,7062,,AYN7062,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,14.0,2024-03-29T13:20:00+00:00,2024-03-29T13:20:00+00:00,2024-03-29T13:34:00+00:00,2024-03-29T13:34:00+00:00,2024-03-29T13:34:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,I,,,23.0,2024-03-29T14:40:00+00:00,2024-03-29T14:40:00+00:00,2024-03-29T15:02:00+00:00,2024-03-29T15:02:00+00:00,2024-03-29T15:02:00+00:00,SCAT Airlines,DV,VSV,714,DV714,VSV714,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,23.0,2024-03-29T00:05:00+00:00,2024-03-29T00:05:00+00:00,2024-03-29T00:27:00+00:00,2024-03-29T00:27:00+00:00,2024-03-29T00:27:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,6,27.0,2024-03-29T01:30:00+00:00,2024-03-29T01:30:00+00:00,2024-03-29T01:56:00+00:00,2024-03-29T01:56:00+00:00,2024-03-29T01:56:00+00:00,SCAT Airlines,DV,VSV,734,DV734,VSV734,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,5.0,2024-03-29T14:10:00+00:00,2024-03-29T14:10:00+00:00,2024-03-29T14:15:00+00:00,2024-03-29T14:15:00+00:00,2024-03-29T14:15:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,I,,6,,2024-03-29T15:55:00+00:00,2024-03-29T15:55:00+00:00,2024-03-29T15:45:00+00:00,2024-03-29T15:45:00+00:00,2024-03-29T15:45:00+00:00,SCAT Airlines,DV,VSV,744,DV744,VSV744,,,,,,,,UP-B3736,B738,B738,683328,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T19:50:00+00:00,2024-03-29T19:50:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,2,,,,2024-03-29T21:45:00+00:00,2024-03-29T21:45:00+00:00,,,,Qazaq Air,IQ,QAZ,351,IQ351,QAZ351,,,,,,,,,,,,,,,,,,,
2024-03-29,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T06:50:00+00:00,2024-03-29T06:50:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,I,,,,2024-03-29T08:55:00+00:00,2024-03-29T08:55:00+00:00,,,,Qazaq Air,IQ,QAZ,353,IQ353,QAZ353,,,,,,,,,,,,,,,,,,,
2024-03-29,unknown,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T06:55:00+00:00,2024-03-29T06:55:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,I,,,,2024-03-29T08:55:00+00:00,2024-03-29T08:55:00+00:00,,,,Qazaq Air,IQ,QAZ,359,IQ359,QAZ359,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T09:00:00+00:00,2024-03-29T09:00:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,I,,6,,2024-03-29T10:50:00+00:00,2024-03-29T10:50:00+00:00,,,,Air Astana,KC,KZR,7052,KC7052,KZR7052,,,,,,,,EI-KBN,A320,A320,4CAC07,2024-03-29T04:34:09+00:00,49.0844,73.3805,11285.2,147.0,820.436,0.0,False
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T16:05:00+00:00,2024-03-29T16:05:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,2,,6,,2024-03-29T17:55:00+00:00,2024-03-29T17:55:00+00:00,,,,Air Astana,KC,KZR,7056,KC7056,KZR7056,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,35.0,2024-03-29T23:20:00+00:00,2024-03-29T23:20:00+00:00,2024-03-29T23:55:00+00:00,2024-03-29T23:55:00+00:00,2024-03-29T23:55:00+00:00,Xianyang,Asia/Shanghai,XIY,ZLXY,3,,,11.0,2024-03-30T07:15:00+00:00,2024-03-30T07:15:00+00:00,2024-03-30T07:25:00+00:00,2024-03-30T07:25:00+00:00,2024-03-30T07:25:00+00:00,Air China LTD,CA,CCA,792,CA792,CCA792,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T01:05:00+00:00,2024-03-29T01:05:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,,,6,,2024-03-29T03:00:00+00:00,2024-03-29T03:00:00+00:00,,,,Air Astana,KC,KZR,7064,KC7064,KZR7064,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T00:45:00+00:00,2024-03-29T00:45:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,,,5,,2024-03-29T02:40:00+00:00,2024-03-29T02:40:00+00:00,,,,Air Astana,KC,KZR,7330,KC7330,KZR7330,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-29T10:20:00+00:00,2024-03-29T10:20:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,I,,6,,2024-03-29T12:15:00+00:00,2024-03-29T12:15:00+00:00,,,,Air Astana,KC,KZR,7334,KC7334,KZR7334,,,,,,,,,,,,,,,,,,,
2024-03-29,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,150.0,2024-03-29T21:35:00+00:00,2024-03-29T21:35:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,2,,5,,2024-03-29T23:10:00+00:00,2024-03-29T23:10:00+00:00,,,,Air Astana,KC,KZR,856,KC856,KZR856,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,7.0,2024-03-29T11:55:00+00:00,2024-03-29T11:55:00+00:00,2024-03-29T12:02:00+00:00,2024-03-29T12:02:00+00:00,2024-03-29T12:02:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,I,,5,6.0,2024-03-29T13:35:00+00:00,2024-03-29T13:35:00+00:00,2024-03-29T13:29:00+00:00,2024-03-29T13:29:00+00:00,2024-03-29T13:29:00+00:00,Air Astana,KC,KZR,952,KC952,KZR952,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,7.0,2024-03-29T17:50:00+00:00,2024-03-29T17:50:00+00:00,2024-03-29T17:57:00+00:00,2024-03-29T17:57:00+00:00,2024-03-29T17:57:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,5,,2024-03-29T19:30:00+00:00,2024-03-29T19:30:00+00:00,2024-03-29T19:20:00+00:00,2024-03-29T19:20:00+00:00,2024-03-29T19:20:00+00:00,Air Astana,KC,KZR,954,KC954,KZR954,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,6.0,2024-03-29T02:05:00+00:00,2024-03-29T02:05:00+00:00,2024-03-29T02:11:00+00:00,2024-03-29T02:11:00+00:00,2024-03-29T02:11:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,5,,2024-03-29T03:55:00+00:00,2024-03-29T03:55:00+00:00,2024-03-29T03:30:00+00:00,2024-03-29T03:30:00+00:00,2024-03-29T03:30:00+00:00,Air Astana,KC,KZR,956,KC956,KZR956,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,12.0,2024-03-29T20:30:00+00:00,2024-03-29T20:30:00+00:00,2024-03-29T20:41:00+00:00,2024-03-29T20:41:00+00:00,2024-03-29T20:41:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,5,,2024-03-29T22:10:00+00:00,2024-03-29T22:10:00+00:00,2024-03-29T22:03:00+00:00,2024-03-29T22:03:00+00:00,2024-03-29T22:03:00+00:00,Air Astana,KC,KZR,992,KC992,KZR992,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,10.0,2024-03-29T19:30:00+00:00,2024-03-29T19:30:00+00:00,2024-03-29T19:40:00+00:00,2024-03-29T19:40:00+00:00,2024-03-29T19:40:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,5,,2024-03-29T21:10:00+00:00,2024-03-29T21:10:00+00:00,2024-03-29T21:03:00+00:00,2024-03-29T21:03:00+00:00,2024-03-29T21:03:00+00:00,Air Astana,KC,KZR,996,KC996,KZR996,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,16.0,2024-03-29T16:05:00+00:00,2024-03-29T16:05:00+00:00,2024-03-29T16:20:00+00:00,2024-03-29T16:20:00+00:00,2024-03-29T16:20:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,6,,2024-03-29T17:55:00+00:00,2024-03-29T17:55:00+00:00,2024-03-29T17:51:00+00:00,2024-03-29T17:51:00+00:00,2024-03-29T17:51:00+00:00,,W1,W1,4605,W14605,W14605,,flyarystan,,ayn,7056,,ayn7056,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,11.0,2024-03-29T00:45:00+00:00,2024-03-29T00:45:00+00:00,2024-03-29T00:56:00+00:00,2024-03-29T00:56:00+00:00,2024-03-29T00:56:00+00:00,Almaty,Asia/Almaty,ALA,UAAA,2,,5,,2024-03-29T02:40:00+00:00,2024-03-29T02:40:00+00:00,2024-03-29T02:16:00+00:00,2024-03-29T02:16:00+00:00,2024-03-29T02:16:00+00:00,,W1,W1,4688,W14688,W14688,,flyarystan,,ayn,7330,,ayn7330,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,35.0,2024-03-29T02:00:00+00:00,2024-03-29T02:00:00+00:00,2024-03-29T02:35:00+00:00,2024-03-29T02:35:00+00:00,2024-03-29T02:35:00+00:00,Antalya,Europe/Istanbul,AYT,LTAI,1,,106,13.0,2024-03-29T05:40:00+00:00,2024-03-29T05:40:00+00:00,2024-03-29T05:28:00+00:00,2024-03-29T05:28:00+00:00,2024-03-29T05:28:00+00:00,Pegasus,PC,PGT,231,PC231,PGT231,,,,,,,,,,,,,,,,,,,
2024-03-29,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,,2024-03-29T23:00:00+00:00,2024-03-29T23:00:00+00:00,,,,Shimkent,Asia/Almaty,CIT,UAII,,,,,2024-03-30T01:00:00+00:00,2024-03-30T01:00:00+00:00,,,,empty,,,4685,,,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,11.0,2024-03-29T17:55:00+00:00,2024-03-29T17:55:00+00:00,2024-03-29T18:05:00+00:00,2024-03-29T18:05:00+00:00,2024-03-29T18:05:00+00:00,Shimkent,Asia/Almaty,CIT,UAII,,,,,2024-03-29T19:55:00+00:00,2024-03-29T19:55:00+00:00,2024-03-29T19:40:00+00:00,2024-03-29T19:40:00+00:00,2024-03-29T19:40:00+00:00,FlyArystan,,AYN,7325,,AYN7325,,,,,,,,,,,,,,,,,,,
2024-03-29,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,15.0,2024-03-29T12:55:00+00:00,2024-03-29T12:55:00+00:00,2024-03-29T13:09:00+00:00,2024-03-29T13:09:00+00:00,2024-03-29T13:09:00+00:00,Zhambyl,Asia/Almaty,DMB,UADD,,,,10.0,2024-03-29T14:30:00+00:00,2024-03-29T14:30:00+00:00,,,,SCAT Airlines,DV,VSV,755,DV755,VSV755,,,,,,,,,,,,,,,,,,,
2024-03-29,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,52.0,2024-03-29T04:05:00+00:00,2024-03-29T04:05:00+00:00,2024-03-29T04:56:00+00:00,2024-03-29T04:56:00+00:00,2024-03-29T04:56:00+00:00,Dubai,Asia/Dubai,DXB,OMDB,3,,01,2.0,2024-03-29T08:25:00+00:00,2024-03-29T08:25:00+00:00,,,,Emirates,EK,UAE,2195,EK2195,UAE2195,,flydubai,fz,fdb,1304,fz1304,fdb1304,,,,,,,,,,,,
2024-03-29,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,52.0,2024-03-29T04:05:00+00:00,2024-03-29T04:05:00+00:00,2024-03-29T04:56:00+00:00,2024-03-29T04:56:00+00:00,2024-03-29T04:56:00+00:00,Dubai,Asia/Dubai,DXB,OMDB,3,,01,2.0,2024-03-29T08:25:00+00:00,2024-03-29T08:25:00+00:00,,,,flydubai,FZ,FDB,1304,FZ1304,FDB1304,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,5.0,2024-03-29T07:00:00+00:00,2024-03-29T07:00:00+00:00,2024-03-29T07:05:00+00:00,2024-03-29T07:05:00+00:00,2024-03-29T07:05:00+00:00,Dubai,Asia/Dubai,DXB,OMDB,3,,05,,2024-03-29T11:20:00+00:00,2024-03-29T11:20:00+00:00,2024-03-29T10:22:00+00:00,2024-03-29T10:22:00+00:00,2024-03-29T10:22:00+00:00,flydubai,FZ,FDB,1308,FZ1308,FDB1308,,,,,,,,A6-FKE,B38M,B38M,8965D0,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,21.0,2024-03-29T07:50:00+00:00,2024-03-29T07:50:00+00:00,2024-03-29T08:11:00+00:00,2024-03-29T08:11:00+00:00,2024-03-29T08:11:00+00:00,Dubai,Asia/Dubai,DXB,OMDB,1,,03,,2024-03-29T11:50:00+00:00,2024-03-29T11:50:00+00:00,2024-03-29T11:40:00+00:00,2024-03-29T11:40:00+00:00,2024-03-29T11:40:00+00:00,Air Astana,KC,KZR,205,KC205,KZR205,,,,,,,,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,17.0,2024-03-29T14:00:00+00:00,2024-03-29T14:00:00+00:00,2024-03-29T14:16:00+00:00,2024-03-29T14:16:00+00:00,2024-03-29T14:16:00+00:00,Dubai,Asia/Dubai,DXB,OMDB,1,,03,,2024-03-29T18:00:00+00:00,2024-03-29T18:00:00+00:00,2024-03-29T17:46:00+00:00,2024-03-29T17:46:00+00:00,2024-03-29T17:46:00+00:00,Air Astana,KC,KZR,207,KC207,KZR207,,,,,,,,EI-KGB,A21N,A21N,4CAC11,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,8.0,2024-03-29T13:35:00+00:00,2024-03-29T13:35:00+00:00,2024-03-29T13:43:00+00:00,2024-03-29T13:43:00+00:00,2024-03-29T13:43:00+00:00,Frankfurt International Airport,Europe/Berlin,FRA,EDDF,2,,54,,2024-03-29T17:40:00+00:00,2024-03-29T17:40:00+00:00,2024-03-29T17:11:00+00:00,2024-03-29T17:11:00+00:00,2024-03-29T17:11:00+00:00,Air Astana,KC,KZR,921,KC921,KZR921,,,,,,,,EI-KGJ,A21N,A21N,4CAD30,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,A03,29.0,2024-03-29T04:30:00+00:00,2024-03-29T04:30:00+00:00,2024-03-29T04:59:00+00:00,2024-03-29T04:59:00+00:00,2024-03-29T04:59:00+00:00,Frankfurt International Airport,Europe/Berlin,FRA,EDDF,1,B26A,,1.0,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,Lufthansa,LH,DLH,648,LH648,DLH648,,,,,,,,,,,,,,,,,,,
2024-03-29,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,A03,29.0,2024-03-29T04:30:00+00:00,2024-03-29T04:30:00+00:00,2024-03-29T04:59:00+00:00,2024-03-29T04:59:00+00:00,2024-03-29T04:59:00+00:00,Frankfurt International Airport,Europe/Berlin,FRA,EDDF,1,B28A,,,2024-03-29T08:20:00+00:00,2024-03-29T08:20:00+00:00,,,,Lufthansa,LH,DLH,8121,LH8121,DLH8121,,lufthansa,lh,dlh,648,lh648,dlh648,,,,,,,,,,,,
2024-03-29,landed,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,8.0,2024-03-29T13:35:00+00:00,2024-03-29T13:35:00+00:00,2024-03-29T13:43:00+00:00,2024-03-29T13:43:00+00:00,2024-03-29T13:43:00+00:00,Frankfurt International Airport,Europe/Berlin,FRA,EDDF,2,,54,,2024-03-29T17:40:00+00:00,2024-03-29T17:40:00+00:00,2024-03-29T17:11:00+00:00,2024-03-29T17:11:00+00:00,2024-03-29T17:11:00+00:00,Lufthansa,LH,DLH,9613,LH9613,DLH9613,,air astana,kc,kzr,921,kc921,kzr921,,,,,,,,,,,,
